,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,,
fathom_name,description,youtube_link,,surface_stability,external_weight_implement,,resistance,speed,,base_movement_id,base_movement_name,compound_actions,primary_actions,bilateral_distribution_of_resistance,,training_type,strength_resistance_action,strength_endurance_action,power_drill_action,power_action,cardio_action
Frogger,sumo squat jump,,,stable,none,,none,explosive,,,Sumo Squat Jump,3000.1,"3001_a, 3001_b, 3000.1_c, 3000.1_d",bilateral,,,,,,,
"Frogger Variation, no jump, instead squat with calf raise",sumo squat with calf raise (feet externally rotated),,,stable,none,,none,mod,,,Sumo Squat with Everted Calf Raise,"2000.1, 2002.1","2000_a, 2000_b, 2000.1_c, 2000.1_d, 2002.1_a, 2002.1_b",bilateral,,,,,,,
Dumbbell Chest Press,,,,stable,dumbbells,,mod,mod,,,Supine Chest Press,"1003, 2400","1003, 2400_a, 2400_b",bilateral,,,,,,,
Strap Chest Press,,,,stable,TRX,,low,mod,,,TRX Chest Press,"1004, 2400","1004, 2400_a, 2400_b",bilateral,,,,,,,
Push-Up,,,,stable,none,,mod,mod,,,Push Up,"1004, 1200","1004, 1200_a, 1200_b, 1200_c, 1200_d",bilateral,,,,,,,
"Push-Up Variation, knees on the ground",,,,stable,none,,mod,mod,,,Push Up on Knees,"1004.2, 1200","1004.2, 1200_a, 1200_b, 1200_c, 1200_d",bilateral,,,,,,,
"Push-Up Variation, hands on the bench",,,,stable,none,,low,mod,,,Push Up,"1004, 1200","1004, 1200_a, 1200_b, 1200_c, 1200_d",bilateral,,,,,,,
Dumbbell Overhead Tricep Extension,,,,stable,dumbbells,,mod,mod,,,Standing Overhead Tricep Extension,"1000, 2403.2","1000, 2403.1_a, 2403.1_b, 2403.2_c",bilateral,,,,,,,
Strap Tricep Extension,,,,unstable,TRX,,mod,mod,,,TRX Overhead Tricep Extension,"1004, 2403.1","1004, 2403.1_a, 2403.1_b, 2403.1_c",bilateral,,,,,,,
"Strap Tricep Extension Variation,  stagger step"," (one foot in line from head to heels, one foot behind)",,,unstable,TRX,,low,mod,,,TRX Overhead Tricep Extension,"1004, 2403.1","1004, 2403.1_a, 2403.1_b, 2403.1_c",bilateral,,,,,,,
Low Band Neutral Front Raise,,https://www.facebook.com/OTFSouthJordan/videos/174292720443410,,stable,mini_bands,,mod,slow,,,Banded Neutral Front Raise,"1000, 2406.2","1000, 2406.2_a, 2406.2_b, 2406.2_c",bilateral,,,,,,,
"Low Band Neutral Front Raise Variation, lighter band",,https://www.facebook.com/OTFSouthJordan/videos/174292720443410,,stable,mini_bands,,low,slow,,,Banded Neutral Front Raise,"1000, 2406.2","1000, 2406.2_a, 2406.2_b, 2406.2_c",bilateral,,,,,,,
"Low Band Neutral Front Raise Variation, with Dumbbell",,https://www.facebook.com/OTFSouthJordan/videos/174292720443410,,stable,dumbbells,,mod,slow,,,Standing Weight Neutral Front Raise,"1000, 2406.1","1000, 2406.1_a, 2406.1_b, 2406.1_c",bilateral,,,,,,,
Low Band 4 Point S/A Glide,"in quadruped position, mini band around wrists, lift right hand off the ground a few inches and horizontally abduct to glide hand outward to the right. complete reps then repeat with other arm",,,stable,mini_bands,,mod,mod,,,Quadruped with mini band shoulder horizontal abduction,"1006, 2408","2408_a, 2408_b, 2408_c",unilateral,,,,,,,
"Low Band 4 Point S/A Glide Variation, lighter band or mid/high band position",,,,stable,mini_bands,,low,mod,,,Quadruped with mini band shoulder horizontal abduction,"1006, 2408","2408_a, 2408_b, 2408_c",unilateral,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
April 26 At Home OTF Workout,,,,,,,,,,,,,,,,,,,,,
Isometric Hold Bird Dog,,,,,,,,,,,,,,,,,,,,,
4 Point Glide,,,,,,,,,,,,,,,,,,,,,
Upper Cut,,,,,,,,,,,,,,,,,,,,,
Front Raise,,,,,,,,,,,,,,,,,,,,,
Hip Hinge Low Row to Bicep Curl,,,,,,,,,,,,,,,,,,,,,
Sumo Squat Oblique Crunch,,,,,,,,,,,,,,,,,,,,,
Standing Weighted Oblique Crunch,,,,,,,,,,,,,,,,,,,,,
Incline Plank Jack,,,,,,,,,,,,,,,,,,,,,
Tuck Jump,,,,,,,,,,,,,,,,,,,,,
Hip Hinge S/A Low Row (Tempo),,,,,,,,,,,,,,,,,,,,,
Standing Overhead Triceps Extension,,,,,,,,,,,,,,,,,,,,,
Hammer Curl (Tempo),,,,,,,,,,,,,,,,,,,,,
High Knees,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
April 27 At Home OTF Workout,,,,,,,,,,,,,,,,,,,,,
Sumo Squat to Stand,,,,,,,,,,,,,,,,,,,,,
Wide Mountain Climber w/ Rotation,,,,,,,,,,,,,,,,,,,,,
Iso Squat Lateral Toe Tap (Mid Band),,,,,,,,,,,,,,,,,,,,,
Standing Leg Lift (Mid Band),,,,,,,,,,,,,,,,,,,,,
Curtsy Lunge to Knee Raise,,,,,,,,,,,,,,,,,,,,,
Static Lunge,,,,,,,,,,,,,,,,,,,,,
Pulsing Lunge,,,,,,,,,,,,,,,,,,,,,
Jump Squats,,,,,,,,,,,,,,,,,,,,,
Incline Plank Jacks,,,,,,,,,,,,,,,,,,,,,
Box Jumps,,,,,,,,,,,,,,,,,,,,,
Incline Plank Spiderman,,,,,,,,,,,,,,,,,,,,,
Box Jumps,,,,,,,,,,,,,,,,,,,,,
Incline Plank Blastoffs,,,,,,,,,,,,,,,,,,,,,
Box Jumps,,,,,,,,,,,,,,,,,,,,,
Side to Side V-Up ,,,,,,,,,,,,,,,,,,,,,
Plank Tap,,,,,,,,,,,,,,,,,,,,,
In/Out V-Up,,,,,,,,,,,,,,,,,,,,,
Plank Pull Through w/ Stack,,,,,,,,,,,,,,,,,,,,,
Double Crunch w/ Pass,,,,,,,,,,,,,,,,,,,,,
Push – 180 Degree Squat to Calf Raise 1 Min,,,,,,,,,,,,,,,,,,,,,
Base – Alt. Reverse Lunge,,,,,,,,,,,,,,,,,,,,,
Push – Crab to Alt. Knee Tap,,,,,,,,,,,,,,,,,,,,,
Base – Alt. Reverse Lunge,,,,,,,,,,,,,,,,,,,,,
All Out – Standing Reach to Alt. Knee Tap,,,,,,,,,,,,,,,,,,,,,
